#1=α 2=αD 3=σ 4=f 5=dq 6=qh 7=dp 8=dph 9=pd 10=dpdh 11=m 12=mh 
0.253 0.01 sign -99.0 0.00020085875568158496 75.24725961595959 0.00020113504092072532 0.6367474274255851 100.96206308078145 41.15802484614572 0.9997771401834142 16.106255301892656
0.252 0.01 sign -99.0 0.00020617540451347714 75.21390707044758 0.0002064732202791895 0.6367508122028238 100.9610637552241 41.157840096038534 0.9997713871130861 16.042587569640904
0.251 0.01 sign -99.0 0.0002116418849824612 75.18071981416746 0.00021196254793396472 0.636754292669495 100.96003638850222 41.15765020684148 0.9997654753287021 15.97891975326404
0.25 0.01 sign -99.0 0.00021726270935597706 75.1477019368169 0.00021760761207764386 0.636757871723144 100.95898013864007 41.15745502570617 0.9997594001260205 15.915251851748884
0.249 0.01 sign -99.0 0.00022304253587953214 75.1148576385414 0.00022341315123760772 0.6367615523559029 100.95789413643432 41.15725439489028 0.9997531566498686 15.851583864076243
0.248 0.01 sign -99.0 0.00022898617388089214 75.08219123325914 0.00022938405963478895 0.6367653376578425 100.95677748449911 41.15704815158771 0.999746739888859 15.787915789220989
0.247 0.01 sign -99.0 0.00023509858906829462 75.04970715209942 0.00023552539275179207 0.6367692308204584 100.95562925627313 41.15683612775177 0.9997401446698939 15.724247626152145
0.246 0.01 sign -99.0 0.0002413849090307323 75.01740994695959 0.0002418423731193758 0.6367732351402874 100.95444849498992 41.15661814991205 0.9997333656524656 15.660579373832963
0.245 0.01 sign -99.0 0.00024785042894875437 74.98530429418524 0.00024834039633077874 0.6367773540226712 100.95323421260774 41.156394038984274 0.9997263973227278 15.596911031220989
0.244 0.01 sign -99.0 0.0002545006175245512 74.95339499837783 0.00025502503729373476 0.6367815909856632 100.9519853886979 41.15616361007248 0.9997192339873413 15.533242597268144
0.243 0.01 sign -99.0 0.00026134112314056654 74.92168699633586 0.0002619020567305829 0.6367859496640912 100.95070096929007 41.155926672264 0.9997118697670747 15.469574070920764
0.242 0.01 sign -99.0 0.0002683989505200799 74.89025603767021 0.0002690310361842073 0.6367904846955867 100.94936834372649 41.155678293805465 0.9997042737023225 15.405892154995334
0.241 0.01 sign -99.0 0.0002756385441930815 74.85896851075618 0.0002763130203742751 0.6367951006136257 100.94800896772318 41.15542748884943 0.9996964884148072 15.342223487338599
0.24 0.01 sign -99.0 0.00028308645994733455 74.82789739746934 0.0002838053579740047 0.6367998490434039 100.94661073034507 41.15516967124017 0.9996884835196603 15.27855470082406
0.239 0.01 sign -99.0 0.00029077059819394835 74.79712063158486 0.0002915699595849147 0.6368047875912946 100.94516053066351 41.15489958108988 0.9996802271078099 15.214873995588496
0.238 0.01 sign -99.0 0.00029865564845489237 74.76650267399437 0.00029950619664584935 0.63680981784061 100.94368022149717 41.15462660518139 0.9996717615619864 15.151205065720676
0.237 0.01 sign -99.0 0.0003067899288643521 74.73618924953634 0.0003077276617155107 0.636815046329089 100.94214560677116 41.15434094047209 0.9996630310513882 15.08752549958095
0.236 0.01 sign -99.0 0.00031513953632464114 74.70604724069221 0.0003161354786794934 0.6368203753268393 100.94057819384156 41.1540519807801 0.9996540763473482 15.023856398186364
0.235 0.01 sign -99.0 0.00032375243096896924 74.67622113395247 0.00032484300735668406 0.6368259121941008 100.93895383584224 41.15374977349232 0.9996448421243206 14.960177839225308
0.234 0.01 sign -99.0 0.0003325960064051083 74.64657979996424 0.00033375260549290753 0.6368315590303689 100.93729381019678 41.153443825905384 0.9996353676785773 14.896508563577928
0.233 0.01 sign -99.0 0.0003416978345216469 74.61719721947378 0.0003429238788339063 0.636837370898738 100.93558555383213 41.15312914525258 0.9996256216938653 14.832839160765442
0.232 0.01 sign -99.0 0.0003510868427305264 74.58815153122035 0.0003524207516265376 0.6368434084356871 100.93381557121957 41.152800116119984 0.9996155713206196 14.769161413578898
0.231 0.01 sign -99.0 0.00036073066485072924 74.5593098289998 0.0003621435294399551 0.6368495700061306 100.93200562713332 41.15246672294148 0.9996052556522053 14.705491860254881
0.23 0.01 sign -99.0 0.0003706782974469397 74.53081770407998 0.00037220872146848203 0.6368559678690511 100.93013091723718 41.15211842618892 0.9995946183737525 14.64181489491352
0.229 0.01 sign -99.0 0.0003808987838722767 74.50254495389136 0.00038251837160488595 0.6368625010212536 100.92821286725926 41.151765226262135 0.9995836969884496 14.578145161063091
0.228 0.01 sign -99.0 0.0003914210057706872 74.47456666301892 0.00039313450794881225 0.6368692275341119 100.92623843233707 41.15140180502911 0.999572458858172 14.514475296649385
0.227 0.01 sign -99.0 0.0004022752599128128 74.44696174484135 0.0004041234626007756 0.6368762109508942 100.9241936418148 41.15102223764085 0.9995608697445469 14.450798938274367
0.226 0.01 sign -99.0 0.00041343092144256006 74.41959861027667 0.00041538532319197784 0.6368833465832419 100.92210039366715 41.150637000829846 0.9995489668659665 14.387128917076115
0.225 0.01 sign -99.0 0.00042493843666807933 74.39262370871664 0.000427040212257976 0.6368907519222677 100.91993313992901 41.15023494523038 0.9995366924542619 14.323453157029453
0.224 0.01 sign -99.0 0.0004367686282818233 74.36590830424964 0.00043898997389647993 0.6368983228898044 100.91771343969292 41.149826569142824 0.9995240821124028 14.259782949933555
0.223 0.01 sign -99.0 0.0004489520466804925 74.33952855850538 0.00045129945024711786 0.6369061208223185 100.91542769560837 41.14940621419588 0.999511101487979 14.196112610181007
0.222 0.01 sign -99.0 0.00046152074640319304 74.3135642403964 0.00046403784681595453 0.6369142125057875 100.91306137555952 41.14896762310658 0.9994977145269445 14.132437290678022
0.221 0.01 sign -99.0 0.0004744459949609468 74.28788553379145 0.0004771051367198737 0.6369224901985417 100.91063650013544 41.14852177387832 0.999483956444614 14.068766787668688
0.22 0.01 sign -99.0 0.00048778017709674455 74.26263969815372 0.0004906256499184806 0.6369310770550729 100.90812666600479 41.14805687704242 0.9994697674708448 14.005091917383206
0.219 0.01 sign -99.0 0.0005014960709308081 74.23769988210054 0.0005045011498783621 0.6369398659307126 100.90555355318489 41.14758393765328 0.999455181153499 13.941421223909913
0.218 0.01 sign -99.0 0.000515626328002103 74.21314341685694 0.0005187997919637326 0.6369489217621171 100.9029029209751 41.147096936740255 0.9994401609520001 13.877750396456909
0.217 0.01 sign -99.0 0.0005302052251072124 74.18905111536967 0.0005335942303567957 0.6369583149931056 100.90015956899751 41.14658925608974 0.9994246684850255 13.81407583160688
0.216 0.01 sign -99.0 0.0005452061275103085 74.16529528507513 0.0005487844391848135 0.6369679348109079 100.89734563140999 41.146072388308255 0.9994087367803446 13.750404834657514
0.215 0.01 sign -99.0 0.0005606839396051927 74.1420241356272 0.0005644997072166165 0.6369779105890986 100.89443370713413 41.145533863680654 0.9993923034122428 13.68673059790964
0.214 0.01 sign -99.0 0.0005766136308513093 74.11911302257509 0.0005806418522952006 0.636988132106241 100.89144558583612 41.14498520770264 0.9993753996561782 13.623059406618289
0.213 0.01 sign -99.0 0.0005930304772760157 74.09664065872721 0.0005972829730791555 0.6369986683297235 100.88836626834352 41.14442001375168 0.9993579862075406 13.559388080426379
